ApplicantNumber,Decision,Reason,BachelorCountry,UniversityName,UniversityWhitelisted,HasVPD,HasBachelorCertificate,HasTranscript,OtherDocuments,Claimed_Grade,OCR_Grade,Grade_Source,Claimed_BWL,Claimed_VWL,Claimed_Statistik,OCR_BWL,OCR_VWL,OCR_Statistik,MatchedModules,UnrecognizedLines,Extraction_Method,Evaluation_Time_Seconds
89000101,No,Grade too low (2.55 > 2.4).; Language certificate status: not necessary; Transcript chosen by OCR classifier: transcipt_hhu.pdf; ECTS (OCR) status: Not fulfilled,Deutschland,,No,No,No,Yes,,2.55,,Claimed,3.0,3.0,3.0,0.0,0.0,0.0,externes rechnungswesen -> BWL:0.0 | BBO7 Externes Rechnungswesen BBO7 6.5 2.2 cP | internes rechnungswesen -> BWL:0.0 | BBO8 Internes Rechnungswesen BB11 6.6 2.0 cP | volkswirtschaftslehre -> VWL:0.0 | BV02 Grundlagender Volkswirtschaftslehre Il (Mak- BV02 6.4 24 CP | statistische methoden i -> Statistik:0.0 | BROO Statistische Methoden II BS02 1.6 2.0 cP,,ocr_hocr_line,46.285
89000101,No,Grade too low (2.55 > 2.4).; Language certificate status: not necessary; Transcript chosen by OCR classifier: transcipt_hhu.pdf; ECTS (OCR) status: Not fulfilled,Deutschland,,No,No,No,Yes,,2.55,,Claimed,3.0,3.0,3.0,0.0,0.0,0.0,externes rechnungswesen -> BWL:0.0 | BBO7 Externes Rechnungswesen BBO7 6.5 2.2 cP | internes rechnungswesen -> BWL:0.0 | BBO8 Internes Rechnungswesen BB11 6.6 2.0 cP | volkswirtschaftslehre -> VWL:0.0 | BV02 Grundlagender Volkswirtschaftslehre Il (Mak- BV02 6.4 24 CP | statistische methoden i -> Statistik:0.0 | BROO Statistische Methoden II BS02 1.6 2.0 cP,,ocr_hocr_line,38.693
